Time	Close	Long	Short
2018-01-05 06:14:00	0.17928560919469172	1	1
2018-01-05 06:15:00	0.17928545767313495	1	1
2018-01-05 06:16:00	0.17943667618676606	1	1
2018-01-05 06:17:00	0.17943667618676606	1	1
2018-01-05 06:18:00	0.17943667618676606	1	1
2018-01-05 06:19:00	0.17943394879874466	1	1
2018-01-05 06:20:00	0.17905817533801807	1	1
2018-01-05 06:21:00	0.1792850031084647	1	1
2018-01-05 06:22:00	0.17905802381646133	1	1
2018-01-05 06:23:00	0.17905787229490458	1	1
2018-01-05 06:24:00	0.17899862736621744	1	1
2018-01-05 06:25:00	0.17943334271251768	1	1
2018-01-05 06:26:00	0.1794371307514363	1	1
2018-01-05 06:27:00	0.17943697922987956	1	1
2018-01-05 06:28:00	0.17943637314365257	1	1
2018-01-05 06:29:00	0.1794215240310916	1	1
2018-01-05 06:30:00	0.17914878522895133	1	1
2018-01-05 06:31:00	0.17942167555264835	1	1
2018-01-05 06:32:00	0.17940652339697388	1	1
2018-01-05 06:33:00	0.17919469626064494	1	1
2018-01-05 06:34:00	0.17899726367220672	1	1
2018-01-05 06:35:00	0.1784066326440163	1	1
2018-01-05 06:36:00	0.1788983200956525	1	1
2018-01-05 06:37:00	0.17792161214087684	1	1
2018-01-05 06:38:00	0.1779876755396175	1	1
2018-01-05 06:39:00	0.17811358995327226	1	1
2018-01-05 06:40:00	0.17827011172138943	1	1
2018-01-05 06:41:00	0.17821692765497207	1	1
2018-01-05 06:42:00	0.17847390821521092	1	1
2018-01-05 06:43:00	0.17847390821521092	1	1
2018-01-05 06:44:00	0.17847390821521092	1	1
2018-01-05 06:45:00	0.1783766313757809	1	1
2018-01-05 06:46:00	0.17837617681111065	1	1
2018-01-05 06:47:00	0.17867709862280542	1	1
2018-01-05 06:48:00	0.17898074782252157	1	1
2018-01-05 06:49:00	0.17913393611639036	1	1
2018-01-05 06:50:00	0.1789666563177443	1	1
2018-01-05 06:51:00	0.1789513526405131	1	1
2018-01-05 06:52:00	0.1789363520063954	1	1
2018-01-05 06:53:00	0.1789513526405131	1	1
2018-01-05 06:54:00	0.17913333003016338	1	1
2018-01-05 06:55:00	0.1791639373846258	1	1
2018-01-05 06:56:00	0.17896726240397132	1	1
2018-01-05 06:57:00	0.17858967068456377	1	1
2018-01-05 06:58:00	0.17867967448927008	1	1
2018-01-05 06:59:00	0.17871467596887808	1	1
2018-01-05 07:00:00	0.17826586911780057	1	1
2018-01-05 07:01:00	0.17842178479969076	1	1
2018-01-05 07:02:00	0.178421633278134	1	1
2018-01-05 07:03:00	0.17836026704765245	1	1
2018-01-05 07:04:00	0.17792161214087684	1	1
2018-01-05 07:05:00	0.17758826471603875	1	1
2018-01-05 07:06:00	0.17789130782952792	1	1
2018-01-05 07:07:00	0.17732870828933525	1	1
2018-01-05 07:08:00	0.17785494265590923	1	1
2018-01-05 07:09:00	0.17785585178524968	1	1
2018-01-05 07:10:00	0.17790630846364563	1	1
2018-01-05 07:11:00	0.17785630634991995	1	1
2018-01-05 07:12:00	0.1779214606193201	1	1
2018-01-05 07:13:00	0.17775433234223081	1	1
2018-01-05 07:14:00	0.17742174252517642	1	1
2018-01-05 07:15:00	0.17716400435715388	1	1
2018-01-05 07:16:00	0.1776614496279464	1	1
2018-01-05 07:17:00	0.17716400435715388	1	1
2018-01-05 07:18:00	0.1772850700809928	1	1
2018-01-05 07:19:00	0.17726340249837833	1	1
2018-01-05 07:20:00	0.177299767671997	1	1
2018-01-05 07:21:00	0.1772700694468751	1	1
2018-01-05 07:22:00	0.17739128669227078	1	1
2018-01-05 07:23:00	0.17762462988965744	1	1
2018-01-05 07:24:00	0.1773458302252474	1	1
2018-01-05 07:25:00	0.17731552591389846	1	1
2018-01-05 07:26:00	0.1777464532212801	1	1
2018-01-05 07:27:00	0.177770242105689	1	1
2018-01-05 07:28:00	0.17792236974866057	1	1
2018-01-05 07:29:00	0.17804282938627253	1	1
2018-01-05 07:30:00	0.17811874168620156	1	1
2018-01-05 07:31:00	0.1781790472657859	1	1
2018-01-05 07:32:00	0.17805828458506048	1	1
2018-01-05 07:33:00	0.17805070850722324	1	1
2018-01-05 07:34:00	0.17792009692530938	1	1
2018-01-05 07:35:00	0.17791994540375264	1	1
2018-01-05 07:36:00	0.1779197938821959	1	1
2018-01-05 07:37:00	0.17802767723059806	1	1
2018-01-05 07:38:00	0.17802752570904132	1	1
2018-01-05 07:39:00	0.17784585136250455	1	1
2018-01-05 07:40:00	0.1779291882187141	1	1
2018-01-05 07:41:00	0.17807283065450794	1	1
2018-01-05 07:42:00	0.1781943509430171	1	1
2018-01-05 07:43:00	0.17851254621218077	1	1
2018-01-05 07:44:00	0.17786267025530322	1	1
2018-01-05 07:45:00	0.1779217636624336	1	1
2018-01-05 07:46:00	0.17760296230704295	1	1
2018-01-05 07:47:00	0.1779207030115364	1	1
2018-01-05 07:48:00	0.1778306992068301	1	1
2018-01-05 07:49:00	0.17792191518399034	1	1
2018-01-05 07:50:00	0.1780494963347693	1	1
2018-01-05 07:51:00	0.17792600626602245	1	1
2018-01-05 07:52:00	0.17792100605464986	1	1
2018-01-05 07:53:00	0.1779217636624336	1	1
2018-01-05 07:54:00	0.17806752740002188	1	1
2018-01-05 07:55:00	0.17822435221125255	1	1
2018-01-05 07:56:00	0.17820935157713483	1	1
2018-01-05 07:57:00	0.1782269280777172	1	1
2018-01-05 07:58:00	0.1781375303592379	1	1
2018-01-05 07:59:00	0.17822677655616045	1	1
2018-01-05 08:00:00	0.17786085199662227	1	1
2018-01-05 08:01:00	0.17769508741354367	1	1
2018-01-05 08:02:00	0.17793100647739502	1	1
2018-01-05 08:03:00	0.1784667867020439	1	1
2018-01-05 08:04:00	0.17923924359832785	1	3
2018-01-05 08:05:00	0.17911863243915915	1	1
2018-01-05 08:06:00	0.17911726874514844	1	1
2018-01-05 08:07:00	0.1784446645547592	1	1
2018-01-05 08:08:00	0.1791034802834847	1	1
